epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.359,0.51426,0.49079,0.87123,0.94383,0.5,0.50623,0.42712,0.63979,0.79282,0.87464,0.000539275,0.000539275,0.000539275
43,124.667,0.51889,0.41776,0.86172,0.9437,0.5,0.50707,0.43101,0.63111,0.81234,0.86638,0.000511769,0.000511769,0.000511769
44,126.678,0.50618,0.4501,0.85266,0.44261,0.5,0.49537,0.44422,0.56245,0.89116,0.84406,0.000484263,0.000484263,0.000484263
45,128.655,0.47463,0.44156,0.84085,0.44397,0.49573,0.5073,0.44488,0.59138,1.0035,0.83555,0.000456758,0.000456758,0.000456758
46,130.668,0.48586,0.46371,0.84095,0.94166,0.5,0.49299,0.42569,0.6094,0.85342,0.85065,0.000429253,0.000429253,0.000429253
47,132.66,0.4745,0.39419,0.84065,0.94168,0.5,0.48103,0.41304,0.57145,0.85807,0.85052,0.000401747,0.000401747,0.000401747
48,135.691,0.47418,0.41922,0.84754,0.94198,0.5,0.45583,0.40113,0.54151,0.85743,0.85105,0.000374242,0.000374242,0.000374242
49,137.866,0.47431,0.41258,0.84982,0.94188,0.5,0.45583,0.41183,0.5281,0.84315,0.84351,0.000346736,0.000346736,0.000346736
50,139.85,0.4809,0.45017,0.85787,0.94183,0.5,0.45583,0.41067,0.5127,0.8701,0.83651,0.000319231,0.000319231,0.000319231
51,143.937,0.41727,0.36636,0.81237,0.9418,0.5,0.46306,0.43082,0.52009,0.83717,0.83451,0.000291725,0.000291725,0.000291725
52,147.405,0.44231,0.38651,0.8499,0.94173,0.5,0.49137,0.45813,0.51529,0.78727,0.83319,0.00026422,0.00026422,0.00026422
53,150.058,0.38229,0.34694,0.80112,0.94174,0.5,0.48693,0.44178,0.50868,0.75347,0.83376,0.000236714,0.000236714,0.000236714
54,152.112,0.3904,0.34053,0.84117,0.9419,0.5,0.48026,0.43991,0.51102,0.75365,0.83753,0.000209209,0.000209209,0.000209209
55,154.181,0.39569,0.33118,0.83853,0.94202,0.5,0.47332,0.42816,0.51303,0.74089,0.8417,0.000181703,0.000181703,0.000181703
56,156.129,0.399,0.33943,0.80554,0.94195,0.5,0.49439,0.43725,0.52908,0.71178,0.85014,0.000154198,0.000154198,0.000154198
57,158.069,0.38493,0.32973,0.81363,0.94197,0.5,0.49892,0.45767,0.52436,0.69584,0.85146,0.000126692,0.000126692,0.000126692
58,160.238,0.36532,0.31595,0.86389,0.94199,0.5,0.49892,0.43302,0.51228,0.68014,0.85066,9.91865e-05,9.91865e-05,9.91865e-05
59,163.126,0.38644,0.309,0.8208,0.94202,0.5,0.49439,0.42977,0.50332,0.69118,0.84932,7.1681e-05,7.1681e-05,7.1681e-05
60,165.181,0.39307,0.33453,0.80932,0.94199,0.5,0.48368,0.42001,0.48166,0.67839,0.84374,4.41755e-05,4.41755e-05,4.41755e-05
